province,year,Okuma Yazma Bilmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,İlkokul,Ortaokul veya Dengi Meslek Okulu,İlköğretim,Lise veya Dengi Meslek Okulu,Yüksekokul veya Fakülte,Yüksek Lisans ve Üzeri,Bilinmeyen,Toplam
HATAY,2008,111.481,295.477,364.212,45.654,142.531,158.911,47.133,2.566,74.111,1.242.076
HATAY,2013,35.258,341.656,305.834,47.166,267.990,189.758,99.898,5.658,29.583,1.322.801
HATAY,2018,29.290,198.288,392.326,201.494,181.189,236.952,149.513,12.311,21.358,1.422.721
HATAY,2023,24.942,177.347,345.573,274.043,98.451,269.324,178.040,19.470,16.675,1.403.865
IĞDIR,2008,24.820,50.710,23.018,3.818,17.334,18.635,4.085,285,18.340,161.045
IĞDIR,2013,14.160,49.584,23.711,4.442,34.543,21.591,10.596,678,5.817,165.122
IĞDIR,2018,11.500,26.503,37.925,25.688,24.758,26.065,16.074,1.355,2.212,172.080
IĞDIR,2023,9.653,25.598,36.064,38.713,12.942,39.172,22.853,2.985,1.638,189.618
ISPARTA,2008,21.360,62.120,126.006,16.046,36.034,68.322,23.109,1.879,19.418,374.294
ISPARTA,2013,12.323,60.789,100.152,15.730,62.263,79.484,41.305,3.670,8.035,383.751
ISPARTA,2018,9.694,32.534,107.120,46.155,38.404,102.325,56.397,7.824,3.004,403.457
ISPARTA,2023,8.216,31.166,98.275,60.862,24.348,110.156,72.174,12.026,4.906,422.129
İSTANBUL,2008,463.279,2.185.433,3.204.062,605.488,1.121.072,2.044.677,808.981,111.688,903.213,11.447.893
İSTANBUL,2013,312.010,2.191.646,2.479.882,598.649,2.370.352,2.496.841,1.518.682,211.968,521.110,12.701.140
İSTANBUL,2018,257.881,1.160.991,2.983.092,1.778.386,1.586.020,2.871.545,2.176.161,343.921,122.234,13.280.231
İSTANBUL,2023,233.038,1.176.424,2.732.619,2.431.395,829.613,3.623.528,2.838.481,490.989,187.099,14.543.186
İZMİR,2008,166.484,574.853,1.077.920,190.770,330.330,640.821,279.028,22.954,213.990,3.497.150
İZMİR,2013,70.114,593.640,907.135,187.282,640.698,754.981,470.372,48.040,54.320,3.726.582
İZMİR,2018,55.689,338.816,989.776,485.335,439.453,883.929,662.614,81.705,25.939,3.963.256
İZMİR,2023,50.289,328.699,892.146,669.414,246.448,1.047.469,828.479,120.349,25.858,4.209.151
KAHRAMANMARAŞ,2008,97.569,226.848,235.710,33.068,108.745,111.467,29.978,2.002,54.099,899.486
KAHRAMANMARAŞ,2013,58.259,231.797,195.361,33.657,201.154,133.976,62.583,4.151,21.638,942.576
KAHRAMANMARAŞ,2018,48.957,125.270,259.938,150.003,140.322,172.612,95.936,9.937,9.225,1.012.200
KAHRAMANMARAŞ,2023,39.837,114.152,230.475,205.419,80.543,202.267,122.471,15.334,8.207,1.018.705
KARABÜK,2008,17.123,36.246,66.114,10.360,19.942,31.844,10.842,504,7.278,200.253
KARABÜK,2013,12.387,32.234,50.686,9.654,37.757,45.875,21.341,1.845,2.813,214.592
KARABÜK,2018,9.898,17.613,55.602,26.614,23.907,57.047,30.990,3.211,815,225.697
KARABÜK,2023,7.595,16.853,51.856,33.659,16.820,66.780,40.265,5.636,1.955,241.419
KARAMAN,2008,13.807,42.297,76.941,6.972,24.707,26.490,8.810,310,7.356,207.690
KARAMAN,2013,6.147,39.891,60.116,6.687,49.345,31.329,17.709,1.157,2.827,215.208
KARAMAN,2018,4.843,20.477,65.199,29.526,35.304,40.901,25.818,2.428,2.299,226.795
KARAMAN,2023,4.232,20.355,60.516,42.397,22.049,52.774,33.923,4.782,3.350,244.378
KARS,2008,30.622,73.663,57.882,7.761,31.248,31.932,7.003,608,34.316,275.035
KARS,2013,19.235,67.251,51.156,8.462,55.327,34.188,16.688,1.139,10.094,263.540
KARS,2018,15.057,31.890,65.642,37.557,36.167,41.940,22.724,2.336,2.721,256.034
KARS,2023,11.695,27.516,56.402,52.660,16.750,52.176,31.099,4.123,1.492,253.913
KASTAMONU,2008,44.166,60.503,115.747,12.674,33.667,40.737,13.165,699,12.477,333.835
KASTAMONU,2013,25.899,61.308,101.077,12.457,56.700,50.051,28.351,1.967,4.005,341.815
KASTAMONU,2018,18.969,36.605,111.792,39.894,40.287,63.965,37.549,3.683,1.431,354.175
KASTAMONU,2023,14.212,32.444,106.543,54.417,27.943,77.786,47.121,6.079,1.710,368.255
KAYSERİ,2008,66.524,219.109,303.454,45.181,107.905,169.007,55.880,3.725,84.084,1.054.869
KAYSERİ,2013,35.727,231.166,262.107,48.704,226.630,209.697,109.392,10.595,21.759,1.155.777
KAYSERİ,2018,30.662,125.543,320.163,167.726,150.804,261.229,157.559,17.632,11.740,1.243.058
KAYSERİ,2023,26.887,123.313,296.006,238.368,85.890,315.981,206.510,28.094,15.462,1.336.511
KIRIKKALE,2008,19.123,47.994,67.907,16.163,27.418,48.782,11.898,802,16.176,256.263
KIRIKKALE,2013,10.785,42.916,52.874,16.209,45.327,58.220,22.849,1.667,1.804,252.651
KIRIKKALE,2018,8.345,21.025,59.623,35.995,26.367,71.509,32.105,3.322,1.105,259.396
KIRIKKALE,2023,6.362,20.829,53.586,45.629,15.853,78.122,39.233,5.049,3.856,268.519
KIRKLARELİ,2008,13.347,48.959,117.536,16.926,28.981,57.892,17.353,805,13.604,315.403
KIRKLARELİ,2013,8.633,42.179,91.482,15.934,54.483,67.498,32.216,2.139,4.216,318.780
KIRKLARELİ,2018,6.182,22.271,95.524,39.814,40.920,80.840,44.813,4.088,1.758,336.210
KIRKLARELİ,2023,4.879,22.446,88.638,52.922,27.424,93.084,58.256,6.449,2.127,356.225
KIRŞEHİR,2008,17.696,39.067,62.107,9.808,22.171,34.200,9.678,506,9.232,204.465
KIRŞEHİR,2013,9.059,36.075,50.055,9.915,36.387,40.692,18.929,1.452,1.891,204.455
