province,year,Okuma Yazma Bilmeyen,Okuma Yazma Bilen Fakat Bir Okul Bitirmeyen,İlkokul,Ortaokul veya Dengi Meslek Okulu,İlköğretim,Lise veya Dengi Meslek Okulu,Yüksekokul veya Fakülte,Yüksek Lisans ve Üzeri,Bilinmeyen,Toplam
ADANA,2008,153.345,399.323,469.036,84.299,191.137,300.221,93.801,6.210,113.833,1.811.205
ADANA,2013,84.011,419.406,384.986,86.095,362.663,353.256,175.254,12.932,35.860,1.914.463
ADANA,2018,69.416,225.989,482.828,276.736,233.511,410.691,245.469,25.629,12.935,1.983.204
ADANA,2023,58.357,219.571,441.425,384.900,132.788,484.355,310.054,41.429,11.598,2.084.477
ADIYAMAN,2008,70.930,140.760,107.482,16.956,67.115,62.867,13.952,609,31.050,511.721
ADIYAMAN,2013,39.496,129.338,96.615,16.647,120.358,77.191,36.082,1.912,6.592,524.231
ADIYAMAN,2018,33.580,67.705,131.601,80.366,75.623,94.520,57.219,4.760,2.521,547.895
ADIYAMAN,2023,25.987,63.876,114.013,110.586,39.266,114.510,66.693,7.597,1.965,544.493
AFYONKARAHİSAR,2008,48.679,128.258,228.018,26.293,69.829,82.334,23.466,1.820,21.740,630.437
AFYONKARAHİSAR,2013,22.840,122.198,188.581,26.664,127.763,97.988,45.137,3.908,4.196,639.275
AFYONKARAHİSAR,2018,16.772,65.401,204.244,85.020,88.582,118.642,63.534,7.122,4.441,653.758
AFYONKARAHİSAR,2023,13.423,63.591,188.285,127.329,53.341,146.778,83.418,11.864,8.533,696.562
AĞRI,2008,69.662,176.398,57.624,5.175,33.812,27.576,5.404,527,73.870,450.048
AĞRI,2013,39.861,187.443,64.713,7.454,81.466,39.296,18.341,1.113,23.896,463.583
AĞRI,2018,32.604,92.427,119.521,74.920,53.354,49.207,29.596,2.093,4.711,458.433
AĞRI,2023,25.823,77.031,105.131,100.880,23.736,71.577,39.948,4.749,2.098,450.973
AKSARAY,2008,31.010,74.141,104.329,11.220,41.979,35.194,11.064,615,20.628,330.180
AKSARAY,2013,18.061,70.758,88.859,12.332,75.200,44.869,21.506,1.910,4.362,337.857
AKSARAY,2018,14.503,39.052,101.849,49.350,53.969,59.660,32.699,3.712,4.822,359.616
AKSARAY,2023,12.279,40.203,97.903,78.312,32.468,76.270,44.935,6.852,12.254,401.476
AMASYA,2008,21.656,59.860,95.430,12.249,32.176,42.760,14.956,597,18.436,298.120
AMASYA,2013,11.335,52.164,82.279,12.320,53.185,49.837,27.502,1.657,6.053,296.332
AMASYA,2018,9.370,28.719,89.707,38.872,34.493,63.546,40.111,3.679,1.498,309.995
AMASYA,2023,7.113,26.396,83.062,50.315,22.756,73.042,48.656,5.495,2.486,319.321
ANKARA,2008,154.348,687.275,977.183,245.614,387.537,930.776,442.315,60.837,260.789,4.146.674
ANKARA,2013,107.207,703.626,806.008,237.383,710.545,1.046.749,721.875,115.254,131.312,4.579.959
ANKARA,2018,89.941,382.490,1.003.574,612.567,428.692,1.209.863,974.756,174.002,39.089,4.914.974
ANKARA,2023,82.790,403.068,945.030,798.225,229.884,1.424.607,1.232.553,249.130,53.231,5.418.518
ANTALYA,2008,83.612,305.486,539.306,75.481,168.374,273.733,113.052,6.005,112.781,1.677.830
ANTALYA,2013,25.748,355.957,449.695,79.253,358.055,360.848,212.628,15.321,61.224,1.918.729
ANTALYA,2018,23.081,207.984,532.280,270.902,255.012,471.787,321.905,31.512,27.349,2.141.812
ANTALYA,2023,26.304,214.875,509.957,407.856,147.044,647.059,451.974,54.840,51.563,2.511.472
ARDAHAN,2008,10.827,25.184,26.292,2.911,12.452,11.990,2.592,190,9.088,101.526
ARDAHAN,2013,6.909,19.242,22.876,3.346,18.702,12.826,6.092,385,3.030,93.408
ARDAHAN,2018,5.373,8.771,25.059,12.807,12.156,15.977,8.450,897,880,90.370
ARDAHAN,2023,3.968,7.643,20.966,16.553,6.434,18.471,10.356,1.429,556,86.376
ARTVİN,2008,11.301,27.904,47.708,7.950,14.589,27.549,7.024,317,9.969,154.311
ARTVİN,2013,6.177,24.834,38.237,8.111,26.619,33.102,15.274,960,4.012,157.326
ARTVİN,2018,5.276,13.254,40.899,20.899,15.914,41.198,21.978,1.855,698,161.971
ARTVİN,2023,3.849,12.158,35.867,24.070,9.679,46.570,27.133,2.905,487,162.718
AYDIN,2008,68.265,161.693,319.426,32.508,87.643,119.872,49.074,2.249,47.282,888.012
AYDIN,2013,24.715,167.595,274.839,35.061,174.373,149.846,89.391,6.299,12.612,934.731
AYDIN,2018,19.070,97.174,294.277,120.416,123.669,195.605,133.656,12.917,8.826,1.005.610
AYDIN,2023,16.037,94.013,273.305,178.361,77.305,241.391,174.165,21.208,11.489,1.087.274
BALIKESİR,2008,68.878,175.882,389.976,48.273,97.267,157.114,60.906,3.308,50.545,1.052.149
BALIKESİR,2013,31.362,172.582,334.777,48.729,176.508,190.522,106.528,7.084,13.478,1.081.570
BALIKESİR,2018,23.303,96.399,349.594,134.258,118.607,236.740,155.825,13.608,9.067,1.137.401
BALIKESİR,2023,18.592,90.582,321.066,181.583,76.028,276.591,203.053,22.942,11.608,1.202.045
BARTIN,2008,17.763,33.019,61.625,5.216,18.644,19.182,6.714,374,9.051,171.588
BARTIN,2013,9.653,32.371,46.645,5.225,38.905,24.736,13.368,985,3.679,175.567
BARTIN,2018,7.591,19.675,50.783,21.956,29.612,34.205,18.292,1.848,1.298,185.260
BARTIN,2023,5.701,17.933,47.700,30.050,20.588,44.993,24.651,3.082,1.787,196.485
BATMAN,2008,64.688,151.780,49.958,7.794,49.236,42.153,8.704,513,33.268,408.094
BATMAN,2013,34.365,160.652,51.156,10.549,107.062,58.214,28.395,1.605,12.036,464.034
BATMAN,2018,29.347,85.356,109.248,82.006,74.737,76.570,48.508,4.024,3.889,513.685
BATMAN,2023,23.446,81.279,97.203,129.315,35.773,126.618,65.097,8.913,2.634,570.278
BAYBURT,2008,6.045,15.959,19.473,1.897,9.104,9.024,2.336,121,4.256,68.215
BAYBURT,2013,3.881,12.744,14.825,2.324,14.939,12.315,5.553,381,1.431,68.393
BAYBURT,2018,3.428,7.170,18.456,9.379,9.534,17.311,7.914,866,848,74.906
BAYBURT,2023,2.535,6.685,16.731,12.511,5.713,22.079,11.616,1.688,784,80.342
BİLECİK,2008,7.454,29.178,68.319,8.873,16.321,31.725,8.550,371,6.748,177.539
BİLECİK,2013,5.026,27.446,53.525,8.649,35.159,41.226,18.009,1.240,1.876,192.156
BİLECİK,2018,3.633,14.084,56.522,25.903,24.586,49.403,26.092,2.234,891,203.348
BİLECİK,2023,3.036,14.724,52.159,33.447,14.554,57.112,32.631,3.631,1.633,212.927
BİNGÖL,2008,37.286,67.535,39.488,5.164,27.098,25.821,5.287,282,16.983,224.944
BİNGÖL,2013,20.775,64.698,36.887,5.398,52.790,33.097,15.568,998,4.785,234.996
BİNGÖL,2018,15.992,35.082,53.881,33.391,35.934,45.902,25.423,2.258,1.284,249.147
BİNGÖL,2023,11.990,30.270,43.926,48.076,17.470,68.760,32.670,4.340,1.116,258.618
BİTLİS,2008,46.658,100.145,39.622,6.022,30.089,26.794,6.024,331,20.306,275.991
BİTLİS,2013,22.337,102.809,39.143,6.625,60.497,34.210,16.215,909,5.817,288.562
BİTLİS,2018,17.579,51.172,69.882,47.269,42.723,42.355,27.416,1.978,1.064,301.438
BİTLİS,2023,13.597,46.126,60.234,72.385,20.458,65.061,34.266,4.396,1.160,317.683
BOLU,2008,14.951,43.945,87.766,9.630,23.787,43.246,13.735,943,10.355,248.358
BOLU,2013,10.902,39.853,70.238,9.641,44.434,53.208,25.937,2.617,4.494,261.324
BOLU,2018,8.606,22.641,77.188,32.114,30.163,68.499,37.482,4.798,1.504,282.995
BOLU,2023,6.744,22.118,73.353,42.183,21.286,80.918,48.541,6.992,3.600,305.735
BURDUR,2008,15.183,39.154,91.419,9.769,20.769,32.304,11.915,477,7.771,228.761
BURDUR,2013,7.980,38.431,74.582,9.512,39.470,41.294,21.987,1.505,3.596,238.357
BURDUR,2018,5.976,20.855,76.819,29.060,27.053,51.360,32.608,3.581,1.572,248.884
BURDUR,2023,4.746,19.459,70.342,38.992,17.804,61.588,40.470,5.407,2.645,261.453
BURSA,2008,112.071,413.132,730.087,138.411,232.118,389.063,132.117,9.221,116.282,2.272.502
BURSA,2013,78.163,409.292,574.846,129.750,479.188,482.124,245.613,19.653,56.838,2.475.467
BURSA,2018,62.494,231.534,673.984,367.252,337.757,591.122,364.581,35.017,24.013,2.687.754
BURSA,2023,53.923,243.772,642.159,517.746,210.798,733.495,489.247,56.561,31.644,2.979.345
ÇANAKKALE,2008,26.056,70.061,174.053,17.275,38.343,70.217,25.866,1.788,20.765,444.424
