year,province,party,votes,seats
2002,Adana,akp,229729,8
2002,Adana,chp,182436,6
2002,Adana,mhp,97700,0
2002,Adana,anap,31130,0
2002,Adana,sp,14178,0
2002,Adana,dsp,11954,0
2002,Adana,bbp,4866,0
2002,Adana,other,1115,0
2002,Adıyaman,akp,88831,4
2002,Adıyaman,chp,28710,1
2002,Adıyaman,dem,25666,0
2002,Adıyaman,dyp,20935,0
2002,Adıyaman,sp,11766,0
2002,Adıyaman,anap,11494,0
2002,Adıyaman,mhp,10238,0
2002,Adıyaman,other,42,0
2002,Adıyaman,dsp,3850,0
2002,Adıyaman,bbp,3120,0
2002,Adıyaman,ytp,1632,0
2002,Afyonkarahisar,akp,149518,6
2002,Afyonkarahisar,mhp,49177,0
2002,Afyonkarahisar,dyp,48075,0
2002,Afyonkarahisar,chp,43488,1
2002,Afyonkarahisar,other,128,0
2002,Afyonkarahisar,anap,17888,0
2002,Afyonkarahisar,sp,4544,0
2002,Afyonkarahisar,dem,3793,0
2002,Afyonkarahisar,bbp,3134,0
2002,Afyonkarahisar,dsp,3105,0
2002,Afyonkarahisar,ytp,1150,0
2002,Ağrı,dem,51947,0
2002,Ağrı,akp,26219,3
2002,Ağrı,chp,14230,2
2002,Ağrı,dyp,11550,0
2002,Ağrı,sp,10690,0
2002,Ağrı,mhp,7835,0
2002,Ağrı,anap,7575,0
2002,Ağrı,other,153,0
2002,Ağrı,bbp,2277,0
2002,Ağrı,dsp,2124,0
2002,Ağrı,ytp,1132,0
2002,Aksaray,akp,74784,4
2002,Aksaray,mhp,17784,0
2002,Aksaray,chp,17527,0
2002,Aksaray,dyp,15195,0
2002,Aksaray,anap,9357,0
2002,Aksaray,other,64,0
2002,Aksaray,sp,2989,0
2002,Aksaray,dem,2582,0
2002,Aksaray,bbp,1751,0
2002,Aksaray,dsp,1527,0
2002,Aksaray,ytp,860,0
2002,Amasya,akp,75080,2
2002,Amasya,chp,43864,1
2002,Amasya,dyp,20383,0
2002,Amasya,mhp,19100,0
2002,Amasya,anap,9501,0
2002,Amasya,other,0,0
2002,Amasya,sp,3328,0
2002,Amasya,dsp,3202,0
2002,Amasya,bbp,2840,0
2002,Amasya,dem,2476,0
2002,Amasya,ytp,811,0
2002,Ankara,akp,820260,17
2002,Ankara,chp,603385,12
2002,Ankara,mhp,184826,0
2002,Ankara,other,943,0
2002,Ankara,dyp,116611,0
2002,Ankara,anap,63293,0
2002,Ankara,dem,52709,0
2002,Ankara,bbp,25322,0
2002,Ankara,sp,24021,0
2002,Ankara,ytp,23700,0
2002,Ankara,dsp,20225,0
2002,Antalya,chp,233463,8
2002,Antalya,akp,159733,5
2002,Antalya,dyp,110696,0
2002,Antalya,mhp,78264,0
2002,Antalya,anap,67970,0
2002,Antalya,other,457,0
2002,Antalya,dem,20971,0
2002,Antalya,sp,7686,0
2002,Antalya,ytp,6631,0
2002,Antalya,dsp,5781,0
2002,Antalya,bbp,4310,0
2002,Ardahan,chp,12561,1
2002,Ardahan,dyp,10308,0
2002,Ardahan,dem,9142,0
2002,Ardahan,akp,6746,1
2002,Ardahan,mhp,5053,0
2002,Ardahan,anap,3799,0
2002,Ardahan,other,102,0
2002,Ardahan,sp,1476,0
2002,Ardahan,dsp,1118,0
2002,Ardahan,ytp,991,0
2002,Ardahan,bbp,669,0
2002,Artvin,chp,26243,1
2002,Artvin,akp,23979,1
2002,Artvin,dyp,21493,0
2002,Artvin,mhp,10582,0
2002,Artvin,anap,9647,0
2002,Artvin,other,0,0
2002,Artvin,sp,1363,0
2002,Artvin,dsp,1318,0
2002,Artvin,dem,953,0
2002,Artvin,bbp,818,0
2002,Artvin,ytp,799,0
2002,Aydın,chp,101830,4
2002,Aydın,dyp,97232,0
2002,Aydın,akp,89713,4
2002,Aydın,mhp,58815,0
2002,Aydın,other,953,0
2002,Aydın,anap,27866,0
2002,Aydın,dem,24603,0
2002,Aydın,dsp,6988,0
2002,Aydın,ytp,5615,0
2002,Aydın,bbp,4192,0
2002,Aydın,sp,3922,0
2002,Balıkesir,akp,213569,5
2002,Balıkesir,chp,125095,3
2002,Balıkesir,dyp,94728,0
2002,Balıkesir,other,225,0
2002,Balıkesir,mhp,50500,0
2002,Balıkesir,anap,32766,0
2002,Balıkesir,dsp,11179,0
2002,Balıkesir,dem,10224,0
2002,Balıkesir,sp,9273,0
2002,Balıkesir,ytp,6835,0
2002,Balıkesir,bbp,4421,0
2002,Bartın,akp,29670,2
2002,Bartın,dyp,14740,0
2002,Bartın,chp,14268,0
2002,Bartın,mhp,13697,0
2002,Bartın,anap,8721,0
2002,Bartın,other,0,0
2002,Bartın,dsp,5687,0
2002,Bartın,sp,2314,0
2002,Bartın,dem,1550,0
2002,Bartın,ytp,1308,0
2002,Bartın,bbp,991,0
2002,Batman,dem,70027,0
2002,Batman,akp,30654,3
2002,Batman,dyp,14255,0
2002,Batman,anap,11158,0
2002,Batman,chp,10229,1
2002,Batman,sp,5033,0
2002,Batman,mhp,2942,0
2002,Batman,other,0,0
2002,Batman,bbp,766,0
2002,Batman,ytp,446,0
2002,Batman,dsp,401,0
2002,Bayburt,other,20,0
2002,Bayburt,akp,10162,1
2002,Bayburt,dyp,5557,0
2002,Bayburt,mhp,4642,0
2002,Bayburt,sp,4037,0
2002,Bayburt,chp,946,0
2002,Bayburt,bbp,499,0
2002,Bayburt,anap,323,0
2002,Bayburt,dem,230,0
2002,Bayburt,dsp,151,0
2002,Bayburt,ytp,38,0
2002,Bilecik,akp,27453,1
2002,Bilecik,dyp,24055,0
2002,Bilecik,chp,20279,1
2002,Bilecik,mhp,11009,0
2002,Bilecik,other,0,0
2002,Bilecik,anap,6623,0
2002,Bilecik,sp,4001,0
2002,Bilecik,dsp,1302,0
2002,Bilecik,dem,1163,0
2002,Bilecik,bbp,590,0
2002,Bilecik,ytp,581,0
2002,Bingöl,akp,28198,3
2002,Bingöl,dem,19709,0
2002,Bingöl,other,62,0
2002,Bingöl,mhp,7801,0
2002,Bingöl,sp,7321,0
2002,Bingöl,chp,6998,0
2002,Bingöl,dyp,5796,0
2002,Bingöl,bbp,864,0
2002,Bingöl,anap,835,0
2002,Bingöl,dsp,700,0
2002,Bingöl,ytp,144,0
2002,Bitlis,dem,30352,0
2002,Bitlis,akp,18151,3
2002,Bitlis,other,70,0
2002,Bitlis,dyp,9549,0
2002,Bitlis,anap,6634,0
2002,Bitlis,mhp,6615,0
2002,Bitlis,chp,4644,0
2002,Bitlis,sp,4591,0
2002,Bitlis,ytp,1016,0
2002,Bitlis,bbp,765,0
2002,Bitlis,dsp,760,0
2002,Bolu,akp,66842,3
2002,Bolu,dyp,18637,0
2002,Bolu,chp,18099,0
2002,Bolu,anap,13254,0
2002,Bolu,mhp,11902,0
2002,Bolu,other,0,0
2002,Bolu,sp,4094,0
2002,Bolu,dsp,2190,0
2002,Bolu,dem,2165,0
2002,Bolu,bbp,1514,0
2002,Bolu,ytp,1347,0
2002,Burdur,akp,40773,2
2002,Burdur,dyp,30005,0
2002,Burdur,chp,29359,1
2002,Burdur,mhp,18998,0
2002,Burdur,other,31,0
2002,Burdur,anap,7916,0
2002,Burdur,sp,2998,0
2002,Burdur,bbp,1962,0
2002,Burdur,dsp,1723,0
2002,Burdur,ytp,1351,0
2002,Burdur,dem,1260,0
2002,Bursa,akp,469280,12
2002,Bursa,chp,173299,4
2002,Bursa,dyp,130414,0
2002,Bursa,other,1448,0
2002,Bursa,mhp,73717,0
2002,Bursa,anap,55334,0
2002,Bursa,sp,33273,0
2002,Bursa,dem,23869,0
2002,Bursa,dsp,15061,0
2002,Bursa,ytp,14093,0
2002,Bursa,bbp,6819,0
2002,Çanakkale,akp,71358,2
2002,Çanakkale,chp,63191,2
2002,Çanakkale,dyp,46738,0
2002,Çanakkale,mhp,27304,0
2002,Çanakkale,other,300,0
2002,Çanakkale,anap,20665,0
2002,Çanakkale,dsp,4084,0
2002,Çanakkale,ytp,3279,0
2002,Çanakkale,dem,2800,0
2002,Çanakkale,sp,1814,0
2002,Çanakkale,bbp,1437,0
2002,Çankırı,akp,52858,3
2002,Çankırı,dyp,15993,0
2002,Çankırı,mhp,14950,0
2002,Çankırı,chp,6737,0
2002,Çankırı,anap,3318,0
2002,Çankırı,other,0,0
2002,Çankırı,sp,2252,0
2002,Çankırı,bbp,1900,0
2002,Çankırı,dem,1665,0
2002,Çankırı,dsp,671,0
2002,Çankırı,ytp,348,0
2002,Çorum,akp,153533,4
2002,Çorum,chp,70243,1
2002,Çorum,mhp,27524,0
2002,Çorum,dyp,24917,0
2002,Çorum,other,0,0
2002,Çorum,anap,7490,0
2002,Çorum,dem,6128,0
2002,Çorum,sp,5054,0
2002,Çorum,bbp,3351,0
2002,Çorum,dsp,2024,0
2002,Çorum,ytp,1054,0
2002,Denizli,akp,107842,4
2002,Denizli,chp,92614,3
2002,Denizli,dyp,80286,0
2002,Denizli,other,213,0
2002,Denizli,mhp,45551,0
2002,Denizli,anap,31509,0
2002,Denizli,dsp,8224,0
2002,Denizli,dem,8210,0
2002,Denizli,bbp,4159,0
2002,Denizli,ytp,4065,0
2002,Denizli,sp,3708,0
2002,Diyarbakır,dem,236689,0
2002,Diyarbakır,akp,67298,8
2002,Diyarbakır,dyp,30330,0
2002,Diyarbakır,chp,24963,2
2002,Diyarbakır,anap,17056,0
2002,Diyarbakır,sp,9691,0
2002,Diyarbakır,other,490,0
2002,Diyarbakır,mhp,6415,0
2002,Diyarbakır,dsp,4829,0
2002,Diyarbakır,bbp,2784,0
2002,Diyarbakır,ytp,1865,0
2002,Düzce,akp,85194,3
2002,Düzce,dyp,19618,0
2002,Düzce,chp,13933,0
2002,Düzce,other,0,0
2002,Düzce,anap,8626,0
2002,Düzce,mhp,6392,0
2002,Düzce,sp,5608,0
2002,Düzce,dem,2624,0
2002,Düzce,dsp,1493,0
2002,Düzce,bbp,1227,0
2002,Düzce,ytp,911,0
2002,Edirne,chp,66877,3
2002,Edirne,other,118,0
2002,Edirne,dyp,38250,0
2002,Edirne,mhp,21889,0
2002,Edirne,akp,20257,1
2002,Edirne,anap,9829,0
2002,Edirne,dsp,9261,0
2002,Edirne,sp,4569,0
2002,Edirne,ytp,4391,0
2002,Edirne,dem,2041,0
2002,Edirne,bbp,1269,0
2002,Elazığ,akp,102474,4
2002,Elazığ,other,192,0
2002,Elazığ,chp,21613,0
2002,Elazığ,dem,17387,0
2002,Elazığ,mhp,16165,0
2002,Elazığ,sp,14449,0
2002,Elazığ,anap,5760,0
2002,Elazığ,dyp,4387,0
2002,Elazığ,bbp,2215,0
2002,Elazığ,dsp,922,0
2002,Elazığ,ytp,414,0
2002,Erzincan,akp,44377,2
2002,Erzincan,chp,30358,1
2002,Erzincan,dyp,11075,0
2002,Erzincan,mhp,7937,0
2002,Erzincan,anap,4025,0
2002,Erzincan,sp,2544,0
2002,Erzincan,other,0,0
2002,Erzincan,dem,1764,0
2002,Erzincan,bbp,1131,0
2002,Erzincan,dsp,1093,0
2002,Erzincan,ytp,483,0
2002,Erzurum,akp,184870,7
2002,Erzurum,mhp,36749,0
2002,Erzurum,dem,33291,0
2002,Erzurum,dyp,21269,0
2002,Erzurum,chp,19495,0
2002,Erzurum,sp,12158,0
2002,Erzurum,anap,10036,0
2002,Erzurum,other,0,0
2002,Erzurum,bbp,4294,0
2002,Erzurum,dsp,2825,0
2002,Erzurum,ytp,863,0
2002,Eskişehir,akp,119410,3
2002,Eskişehir,chp,91163,3
2002,Eskişehir,dyp,56673,0
2002,Eskişehir,other,817,0
2002,Eskişehir,mhp,35740,0
2002,Eskişehir,anap,15053,0
2002,Eskişehir,sp,7494,0
2002,Eskişehir,dsp,5788,0
2002,Eskişehir,dem,5000,0
2002,Eskişehir,ytp,4157,0
2002,Eskişehir,bbp,2224,0
2002,Gaziantep,akp,193995,7
2002,Gaziantep,chp,93033,3
2002,Gaziantep,dem,38737,0
2002,Gaziantep,other,123,0
2002,Gaziantep,mhp,33617,0
2002,Gaziantep,dyp,30781,0
2002,Gaziantep,anap,21196,0
2002,Gaziantep,sp,10512,0
2002,Gaziantep,bbp,8065,0
2002,Gaziantep,dsp,3168,0
2002,Gaziantep,ytp,3065,0
2002,Giresun,akp,99078,4
2002,Giresun,chp,30724,1
2002,Giresun,dyp,21718,0
2002,Giresun,mhp,14970,0
2002,Giresun,anap,14112,0
2002,Giresun,other,422,0
2002,Giresun,sp,4217,0
