year,province,party,votes,seats
2015,Düzce,other,1131,0
2015,Edirne,chp,141890,2
2015,Edirne,akp,66398,1
2015,Edirne,mhp,41876,0
2015,Edirne,dem,8182,0
2015,Edirne,sp,3945,0
2015,Edirne,other,1406,0
2015,Elazığ,akp,172722,3
2015,Elazığ,mhp,67283,1
2015,Elazığ,dem,50200,0
2015,Elazığ,chp,22529,0
2015,Elazığ,sp,9543,0
2015,Erzincan,akp,65427,1
2015,Erzincan,chp,33673,1
2015,Erzincan,mhp,21969,0
2015,Erzincan,dem,7770,0
2015,Erzincan,sp,2540,0
2015,Erzurum,akp,214522,4
2015,Erzurum,mhp,95594,1
2015,Erzurum,dem,73632,1
2015,Erzurum,chp,12683,0
2015,Erzurum,sp,9756,0
2015,Erzurum,other,1032,0
2015,Eskişehir,chp,210340,3
2015,Eskişehir,akp,196440,2
2015,Eskişehir,mhp,90359,1
2015,Eskişehir,dem,21439,0
2015,Eskişehir,sp,12348,0
2015,Eskişehir,other,2281,0
2015,Eskişehir,dp,1669,0
2015,Eskişehir,dsp,1483,0
2015,Gaziantep,akp,438958,6
2015,Gaziantep,mhp,165917,2
2015,Gaziantep,chp,152798,2
2015,Gaziantep,dem,142951,2
2015,Gaziantep,sp,19157,0
2015,Gaziantep,dsp,1641,0
2015,Gaziantep,other,1231,0
2015,Gaziantep,dp,1371,0
2015,Giresun,akp,142899,2
2015,Giresun,chp,58351,1
2015,Giresun,mhp,48932,1
2015,Giresun,sp,6485,0
2015,Giresun,dem,3821,0
2015,Gümüşhane,akp,42526,1
2015,Gümüşhane,mhp,23182,1
2015,Gümüşhane,chp,4018,0
2015,Gümüşhane,sp,2182,0
2015,Gümüşhane,dem,1452,0
2015,Hakkâri,dem,123607,3
2015,Hakkâri,akp,14132,0
2015,Hakkâri,mhp,3880,0
2015,Hakkâri,chp,2019,0
2015,Hatay,akp,322422,5
2015,Hatay,chp,304062,4
2015,Hatay,mhp,117832,1
2015,Hatay,dem,58334,0
2015,Hatay,other,1155,0
2015,Hatay,sp,13729,0
2015,Hatay,dsp,1319,0
2015,Iğdır,dem,54289,2
2015,Iğdır,mhp,25903,0
2015,Iğdır,akp,11386,0
2015,Iğdır,chp,3786,0
2015,Isparta,akp,117334,2
2015,Isparta,mhp,70706,1
2015,Isparta,chp,58743,1
2015,Isparta,sp,7039,0
2015,Isparta,dem,5894,0
2015,Isparta,dp,1624,0
2015,İstanbul,akp,3584942,39
2015,İstanbul,chp,2473160,28
2015,İstanbul,dem,1069665,11
2015,İstanbul,mhp,937075,10
2015,İstanbul,other,7224,0
2015,İstanbul,sp,180712,0
2015,İstanbul,dsp,12290,0
2015,İstanbul,dp,4674,0
2015,İzmir,chp,1212681,12
2015,İzmir,akp,724772,8
2015,İzmir,mhp,368724,4
2015,İzmir,dem,285609,2
2015,İzmir,sp,29775,0
2015,İzmir,other,2768,0
2015,İzmir,dsp,4975,0
2015,İzmir,dp,4207,0
2015,Kahramanmaraş,akp,359608,6
2015,Kahramanmaraş,mhp,116527,2
2015,Kahramanmaraş,chp,51412,0
2015,Kahramanmaraş,dem,32457,0
2015,Kahramanmaraş,sp,21293,0
2015,Kahramanmaraş,other,1432,0
2015,Kahramanmaraş,dsp,1223,0
2015,Karabük,akp,69164,1
2015,Karabük,mhp,39203,1
2015,Karabük,chp,24853,0
2015,Karabük,sp,4749,0
2015,Karabük,dem,2238,0
2015,Karaman,akp,81702,2
2015,Karaman,mhp,33184,0
2015,Karaman,chp,22939,0
2015,Karaman,sp,4089,0
2015,Karaman,dem,2399,0
2015,Kars,dem,65000,2
2015,Kars,akp,40634,1
2015,Kars,mhp,20819,0
2015,Kars,chp,18066,0
2015,Kars,sp,1331,0
2015,Kastamonu,akp,114480,2
2015,Kastamonu,mhp,63054,1
2015,Kastamonu,chp,43705,0
2015,Kastamonu,sp,3698,0
2015,Kastamonu,dem,2604,0
2015,Kayseri,akp,418660,5
2015,Kayseri,mhp,219055,3
2015,Kayseri,chp,100274,1
2015,Kayseri,sp,24740,0
2015,Kayseri,dem,21731,0
2015,Kayseri,other,1342,0
2015,Kayseri,dsp,1523,0
2015,Kayseri,dp,1091,0
2015,Kırıkkale,akp,83569,2
2015,Kırıkkale,mhp,46955,1
2015,Kırıkkale,chp,25375,0
2015,Kırıkkale,sp,3838,0
2015,Kırıkkale,dem,2793,0
2015,Kırklareli,chp,116871,2
2015,Kırklareli,akp,56062,1
2015,Kırklareli,mhp,49981,0
2015,Kırklareli,dem,6425,0
2015,Kırklareli,sp,2127,0
2015,Kırklareli,other,1369,0
2015,Kırşehir,akp,54265,1
2015,Kırşehir,mhp,43086,1
2015,Kırşehir,chp,26291,0
2015,Kırşehir,dem,8745,0
2015,Kırşehir,sp,1752,0
2015,Kilis,akp,33035,1
2015,Kilis,mhp,23515,1
2015,Kilis,chp,5303,0
2015,Kilis,dem,2735,0
2015,Kocaeli,akp,499906,6
2015,Kocaeli,chp,260865,3
2015,Kocaeli,mhp,163742,1
2015,Kocaeli,dem,82493,1
2015,Kocaeli,sp,52631,0
2015,Kocaeli,other,1388,0
2015,Kocaeli,dsp,2232,0
2015,Kocaeli,dp,1826,0
2015,Konya,akp,812578,11
2015,Konya,mhp,203003,2
2015,Konya,chp,123675,1
2015,Konya,dem,56488,0
2015,Konya,sp,36818,0
2015,Konya,dsp,2705,0
2015,Konya,other,1822,0
2015,Konya,dp,1848,0
2015,Kütahya,akp,204400,3
2015,Kütahya,mhp,99666,1
2015,Kütahya,chp,44972,0
2015,Kütahya,sp,13315,0
2015,Kütahya,dem,4933,0
2015,Kütahya,dp,1558,0
2015,Malatya,akp,262571,5
2015,Malatya,chp,74664,1
2015,Malatya,mhp,51030,0
2015,Malatya,dem,36823,0
2015,Malatya,other,10391,0
2015,Malatya,sp,8213,0
2015,Manisa,akp,337237,4
2015,Manisa,chp,262927,3
2015,Manisa,mhp,212884,2
2015,Manisa,dem,63876,0
2015,Manisa,sp,13492,0
2015,Manisa,dp,3284,0
2015,Manisa,other,1326,0
2015,Manisa,dsp,2017,0
2015,Mardin,dem,278691,5
2015,Mardin,akp,76999,1
2015,Mardin,other,5308,0
2015,Mardin,chp,5239,0
2015,Mardin,mhp,4998,0
2015,Mardin,sp,2082,0
2015,Mersin,chp,302377,3
2015,Mersin,akp,278630,3
2015,Mersin,mhp,257908,3
2015,Mersin,dem,188846,2
2015,Mersin,sp,10976,0
2015,Mersin,other,1054,0
2015,Mersin,dp,1688,0
2015,Mersin,dsp,1452,0
2015,Muğla,chp,259698,3
2015,Muğla,akp,155008,2
2015,Muğla,mhp,107461,1
2015,Muğla,dem,31385,0
2015,Muğla,other,4900,0
2015,Muğla,sp,4861,0
2015,Muğla,dp,3883,0
2015,Muğla,dsp,1066,0
2015,Muş,dem,138783,2
2015,Muş,akp,49166,1
2015,Muş,mhp,4019,0
2015,Muş,chp,2879,0
2015,Muş,sp,1555,0
2015,Nevşehir,akp,92813,2
2015,Nevşehir,mhp,48353,1
2015,Nevşehir,chp,26540,0
2015,Nevşehir,dem,3225,0
2015,Nevşehir,sp,3182,0
2015,Niğde,akp,93257,2
2015,Niğde,mhp,49093,1
2015,Niğde,chp,41458,0
2015,Niğde,sp,4600,0
2015,Niğde,dem,3165,0
2015,Ordu,akp,226020,3
2015,Ordu,chp,120594,2
2015,Ordu,mhp,54821,0
2015,Ordu,sp,9847,0
2015,Ordu,dem,5377,0
2015,Ordu,dsp,1632,0
2015,Ordu,other,1449,0
2015,Osmaniye,mhp,115588,2
2015,Osmaniye,akp,111980,2
2015,Osmaniye,chp,38443,0
2015,Osmaniye,dem,12046,0
2015,Osmaniye,sp,3875,0
2015,Rize,akp,133431,3
2015,Rize,chp,37891,0
2015,Rize,mhp,16290,0
2015,Rize,sp,6869,0
2015,Rize,dem,3152,0
2015,Sakarya,akp,330588,5
2015,Sakarya,mhp,112350,1
2015,Sakarya,chp,93008,1
2015,Sakarya,sp,22651,0
2015,Sakarya,dem,17451,0
