year,province,party,votes,seats
2011,Adana,akp,438321,6
2011,Adana,chp,361547,4
2011,Adana,mhp,238140,3
2011,Adana,other,0,0
2011,Adana,sp,11078,0
2011,Adana,bbp,6885,0
2011,Adana,dp,6436,0
2011,Adana,dsp,2144,0
2011,Adana,dyp,2055,0
2011,Adıyaman,akp,205968,4
2011,Adıyaman,chp,50768,1
2011,Adıyaman,other,0,0
2011,Adıyaman,mhp,14102,0
2011,Adıyaman,bbp,2843,0
2011,Adıyaman,sp,2110,0
2011,Adıyaman,dp,913,0
2011,Adıyaman,dsp,463,0
2011,Adıyaman,dyp,234,0
2011,Afyonkarahisar,akp,257463,3
2011,Afyonkarahisar,mhp,79425,1
2011,Afyonkarahisar,chp,70203,1
2011,Afyonkarahisar,sp,4825,0
2011,Afyonkarahisar,dp,3104,0
2011,Afyonkarahisar,bbp,2927,0
2011,Afyonkarahisar,other,0,0
2011,Afyonkarahisar,dyp,1299,0
2011,Afyonkarahisar,dsp,823,0
2011,Ağrı,akp,96616,3
2011,Ağrı,other,0,0
2011,Ağrı,mhp,4505,0
2011,Ağrı,chp,4503,0
2011,Ağrı,bbp,3536,0
2011,Ağrı,dsp,1062,0
2011,Ağrı,sp,1053,0
2011,Ağrı,dp,891,0
2011,Ağrı,dyp,273,0
2011,Aksaray,akp,132455,3
2011,Aksaray,mhp,36030,0
2011,Aksaray,chp,23494,0
2011,Aksaray,bbp,2085,0
2011,Aksaray,sp,1823,0
2011,Aksaray,other,60,0
2011,Aksaray,dp,1072,0
2011,Aksaray,dyp,391,0
2011,Aksaray,dsp,303,0
2011,Amasya,akp,110459,2
2011,Amasya,chp,59066,1
2011,Amasya,mhp,31801,0
2011,Amasya,sp,2933,0
2011,Amasya,bbp,2330,0
2011,Amasya,other,0,0
2011,Amasya,dp,1422,0
2011,Amasya,dyp,399,0
2011,Amasya,dsp,272,0
2011,Ankara,akp,1471871,17
2011,Ankara,chp,935688,10
2011,Ankara,mhp,436883,4
2011,Ankara,bbp,33162,0
2011,Ankara,other,0,0
2011,Ankara,sp,20275,0
2011,Ankara,dp,13023,0
2011,Ankara,dsp,4911,0
2011,Ankara,dyp,3127,0
2011,Antalya,akp,462963,6
2011,Antalya,chp,391400,5
2011,Antalya,mhp,245901,3
2011,Antalya,other,0,0
2011,Antalya,dp,9777,0
2011,Antalya,sp,9533,0
2011,Antalya,bbp,6235,0
2011,Antalya,dyp,3394,0
2011,Antalya,dsp,2949,0
2011,Ardahan,akp,22831,1
2011,Ardahan,chp,17476,1
2011,Ardahan,other,0,0
2011,Ardahan,mhp,5651,0
2011,Ardahan,bbp,1666,0
2011,Ardahan,dp,439,0
2011,Ardahan,dsp,395,0
2011,Ardahan,sp,259,0
2011,Ardahan,dyp,128,0
2011,Artvin,akp,48769,1
2011,Artvin,chp,37180,1
2011,Artvin,mhp,13970,0
2011,Artvin,dp,1608,0
2011,Artvin,sp,1238,0
2011,Aydın,chp,241062,3
2011,Aydın,akp,224330,3
2011,Aydın,mhp,115087,1
2011,Aydın,other,0,0
2011,Aydın,dp,7132,0
2011,Aydın,bbp,3616,0
2011,Aydın,sp,3129,0
2011,Aydın,dsp,2185,0
2011,Aydın,dyp,2048,0
2011,Balıkesir,akp,356649,4
2011,Balıkesir,chp,259104,3
2011,Balıkesir,mhp,106663,1
2011,Balıkesir,dp,9145,0
2011,Balıkesir,sp,8724,0
2011,Balıkesir,other,441,0
2011,Balıkesir,bbp,2887,0
2011,Balıkesir,dyp,2465,0
2011,Balıkesir,dsp,2448,0
2011,Bartın,akp,57783,1
2011,Bartın,chp,34499,1
2011,Bartın,mhp,19189,0
2011,Bartın,sp,2951,0
2011,Bartın,dp,1158,0
2011,Batman,akp,81778,2
2011,Batman,other,0,0
2011,Batman,chp,14754,0
2011,Batman,bbp,3282,0
2011,Batman,sp,2156,0
2011,Batman,mhp,1281,0
2011,Batman,dp,930,0
2011,Batman,dsp,720,0
2011,Batman,dyp,188,0
2011,Bayburt,akp,27318,1
2011,Bayburt,mhp,10434,0
2011,Bayburt,sp,2033,0
2011,Bayburt,chp,1676,0
2011,Bilecik,akp,54936,1
2011,Bilecik,mhp,35117,1
2011,Bilecik,chp,32741,0
2011,Bilecik,sp,1773,0
2011,Bingöl,akp,84888,2
2011,Bingöl,other,0,0
2011,Bingöl,chp,3890,0
2011,Bingöl,mhp,1677,0
2011,Bingöl,bbp,1465,0
2011,Bingöl,sp,989,0
2011,Bingöl,dsp,822,0
2011,Bingöl,dp,480,0
2011,Bingöl,dyp,87,0
2011,Bitlis,akp,74058,2
2011,Bitlis,other,0,0
2011,Bitlis,mhp,4641,0
2011,Bitlis,chp,2511,0
2011,Bitlis,bbp,1986,0
2011,Bitlis,dsp,929,0
2011,Bitlis,sp,796,0
2011,Bitlis,dp,583,0
2011,Bitlis,dyp,124,0
2011,Bolu,akp,103908,2
2011,Bolu,chp,35611,1
2011,Bolu,mhp,28591,0
2011,Bolu,sp,2704,0
2011,Bolu,dp,1848,0
2011,Bolu,other,0,0
2011,Bolu,bbp,929,0
2011,Bolu,dyp,497,0
2011,Bolu,dsp,403,0
2011,Burdur,akp,81582,2
2011,Burdur,chp,42314,1
2011,Burdur,mhp,31033,0
2011,Burdur,sp,2917,0
2011,Burdur,other,115,0
2011,Burdur,dp,1486,0
2011,Burdur,bbp,1385,0
2011,Burdur,dsp,711,0
2011,Burdur,dyp,603,0
2011,Bursa,akp,875380,11
2011,Bursa,chp,412887,5
2011,Bursa,mhp,238137,2
2011,Bursa,sp,32619,0
2011,Bursa,other,0,0
2011,Bursa,dp,14545,0
2011,Bursa,bbp,9597,0
2011,Bursa,dsp,4888,0
2011,Bursa,dyp,3692,0
2011,Çanakkale,akp,136367,2
2011,Çanakkale,chp,129445,2
2011,Çanakkale,mhp,47897,0
2011,Çanakkale,dp,3936,0
2011,Çanakkale,other,192,0
2011,Çanakkale,sp,1586,0
2011,Çanakkale,dyp,1079,0
2011,Çanakkale,dsp,1015,0
2011,Çanakkale,bbp,740,0
2011,Çankırı,akp,72749,2
2011,Çankırı,mhp,25607,0
2011,Çankırı,chp,6738,0
2011,Çankırı,sp,1583,0
2011,Çankırı,bbp,1120,0
2011,Çorum,akp,209764,3
2011,Çorum,chp,82264,1
2011,Çorum,mhp,37120,0
2011,Çorum,sp,3519,0
2011,Çorum,bbp,2878,0
2011,Çorum,other,0,0
2011,Çorum,dp,1880,0
2011,Çorum,dyp,530,0
2011,Çorum,dsp,438,0
2011,Denizli,akp,279091,4
2011,Denizli,chp,187017,2
2011,Denizli,mhp,101408,1
2011,Denizli,dp,5877,0
2011,Denizli,other,0,0
2011,Denizli,bbp,3821,0
2011,Denizli,sp,2868,0
2011,Denizli,dyp,1773,0
2011,Denizli,dsp,1753,0
2011,Diyarbakır,other,0,0
2011,Diyarbakır,akp,218552,0
2011,Diyarbakır,chp,15882,0
2011,Diyarbakır,bbp,6999,0
2011,Diyarbakır,mhp,5733,0
2011,Diyarbakır,sp,2941,0
2011,Diyarbakır,dp,1985,0
2011,Diyarbakır,dsp,1271,0
2011,Diyarbakır,dyp,705,0
2011,Düzce,akp,141181,3
2011,Düzce,mhp,34776,0
2011,Düzce,chp,26578,0
2011,Düzce,sp,3832,0
2011,Düzce,other,0,0
2011,Düzce,dp,1344,0
2011,Düzce,bbp,1174,0
2011,Düzce,dsp,479,0
2011,Düzce,dyp,429,0
2011,Edirne,chp,136532,2
2011,Edirne,akp,80251,1
2011,Edirne,mhp,35152,0
2011,Edirne,dp,2486,0
2011,Edirne,sp,2417,0
2011,Edirne,other,144,0
2011,Edirne,dsp,1188,0
2011,Edirne,dyp,680,0
2011,Edirne,bbp,407,0
2011,Elazığ,akp,213506,4
2011,Elazığ,mhp,45789,1
2011,Elazığ,chp,41742,0
2011,Elazığ,sp,7169,0
2011,Elazığ,other,0,0
2011,Elazığ,bbp,2117,0
2011,Elazığ,dp,1162,0
2011,Elazığ,dyp,376,0
2011,Elazığ,dsp,240,0
2011,Erzincan,akp,73227,1
2011,Erzincan,chp,38921,1
2011,Erzincan,mhp,11938,0
2011,Erzincan,sp,1144,0
2011,Erzurum,akp,283638,5
2011,Erzurum,mhp,54522,1
2011,Erzurum,other,0,0
2011,Erzurum,chp,19847,0
2011,Erzurum,sp,6576,0
2011,Erzurum,bbp,3612,0
2011,Erzurum,dp,1739,0
2011,Erzurum,dsp,1310,0
2011,Erzurum,dyp,603,0
2011,Eskişehir,akp,222254,3
2011,Eskişehir,chp,179072,2
2011,Eskişehir,mhp,73609,1
2011,Eskişehir,dp,5400,0
2011,Eskişehir,sp,4553,0
2011,Eskişehir,other,217,0
2011,Eskişehir,bbp,3622,0
2011,Eskişehir,dsp,2537,0
2011,Eskişehir,dyp,0,0
2011,Gaziantep,akp,510923,9
2011,Gaziantep,chp,159961,2
2011,Gaziantep,mhp,77836,1
2011,Gaziantep,other,0,0
2011,Gaziantep,sp,8270,0
2011,Gaziantep,bbp,7828,0
2011,Gaziantep,dp,5341,0
2011,Gaziantep,dsp,2085,0
2011,Gaziantep,dyp,0,0
2011,Giresun,akp,154385,3
2011,Giresun,chp,61579,1
2011,Giresun,mhp,30966,0
2011,Giresun,sp,4329,0
2011,Giresun,other,0,0
2011,Giresun,dp,1953,0
2011,Giresun,bbp,1127,0
2011,Giresun,dsp,559,0
2011,Giresun,dyp,518,0
2011,Gümüşhane,akp,45203,2
2011,Gümüşhane,mhp,15004,0
2011,Gümüşhane,chp,5401,0
2011,Gümüşhane,sp,1703,0
2011,Hakkâri,other,0,0
2011,Hakkâri,akp,19537,0
2011,Hakkâri,mhp,1226,0
2011,Hakkâri,chp,1068,0
2011,Hakkâri,bbp,854,0
2011,Hakkâri,dsp,242,0
2011,Hakkâri,dp,228,0
2011,Hakkâri,sp,169,0
2011,Hakkâri,dyp,54,0
2011,Hatay,akp,353616,5
2011,Hatay,chp,306498,4
2011,Hatay,mhp,100499,1
2011,Hatay,other,0,0
2011,Hatay,sp,5941,0
2011,Hatay,dp,4341,0
2011,Hatay,bbp,3230,0
2011,Hatay,dyp,1085,0
2011,Hatay,dsp,875,0
2011,Iğdır,mhp,27554,1
2011,Iğdır,other,25437,1
2011,Iğdır,akp,22860,0
2011,Iğdır,chp,1374,0
2011,Iğdır,bbp,1222,0
2011,Isparta,akp,135435,2
2011,Isparta,chp,55594,1
2011,Isparta,mhp,48412,1
2011,Isparta,dp,3745,0
2011,Isparta,sp,3272,0
2011,Isparta,other,38,0
2011,Isparta,bbp,2115,0
2011,Isparta,dyp,1247,0
2011,Isparta,dsp,453,0
2011,İstanbul,akp,3931210,46
2011,İstanbul,chp,2492910,29
2011,İstanbul,mhp,747666,7
2011,İstanbul,other,0,0
2011,İstanbul,sp,129030,0
2011,İstanbul,bbp,50023,0
2011,İstanbul,dp,33122,0
2011,İstanbul,dsp,19489,0
2011,İstanbul,dyp,2759,0
2011,İzmir,chp,1097886,13
2011,İzmir,akp,924281,11
2011,İzmir,mhp,283590,2
2011,İzmir,other,0,0
2011,İzmir,dp,18504,0
2011,İzmir,sp,11386,0
2011,İzmir,bbp,8362,0
2011,İzmir,dsp,6954,0
2011,İzmir,dyp,4163,0
2011,Kahramanmaraş,akp,391986,6
2011,Kahramanmaraş,mhp,73151,1
2011,Kahramanmaraş,chp,64584,1
2011,Kahramanmaraş,bbp,11103,0
2011,Kahramanmaraş,sp,7374,0
2011,Kahramanmaraş,other,0,0
2011,Kahramanmaraş,dp,2941,0
2011,Kahramanmaraş,dyp,850,0
2011,Kahramanmaraş,dsp,629,0
2011,Karabük,akp,82141,2
2011,Karabük,chp,26981,0
2011,Karabük,mhp,22074,0
2011,Karabük,sp,3381,0
2011,Karabük,dp,1815,0
2011,Karaman,akp,80455,2
2011,Karaman,chp,26511,0
2011,Karaman,mhp,25642,0
2011,Karaman,sp,2707,0
2011,Kars,akp,61196,2
2011,Kars,other,0,0
2011,Kars,mhp,24744,0
2011,Kars,chp,24009,0
2011,Kars,bbp,1647,0
2011,Kars,dsp,1027,0
2011,Kars,dp,683,0
2011,Kars,sp,630,0
2011,Kars,dyp,279,0
2011,Kastamonu,akp,130136,2
2011,Kastamonu,mhp,53747,1
2011,Kastamonu,chp,34168,0
2011,Kastamonu,other,0,0
2011,Kastamonu,dp,3110,0
2011,Kastamonu,sp,1918,0
2011,Kastamonu,bbp,1183,0
2011,Kastamonu,dsp,1017,0
2011,Kastamonu,dyp,996,0
2011,Kayseri,akp,478357,7
2011,Kayseri,mhp,132988,1
2011,Kayseri,chp,89493,1
2011,Kayseri,bbp,10026,0
2011,Kayseri,sp,9914,0
2011,Kayseri,other,0,0
2011,Kayseri,dp,3904,0
2011,Kayseri,dsp,1265,0
2011,Kayseri,dyp,1206,0
2011,Kırıkkale,akp,105036,3
2011,Kırıkkale,mhp,31802,0
2011,Kırıkkale,chp,25620,0
2011,Kırıkkale,sp,1675,0
2011,Kırıkkale,other,0,0
2011,Kırıkkale,bbp,1436,0
2011,Kırıkkale,dp,681,0
2011,Kırıkkale,dyp,246,0
2011,Kırıkkale,dsp,230,0
