year,province,party,votes,seats
2023,Adana,akp,440010,5
2023,Adana,mhp,157286,2
2023,Adana,yeniden_refah,25465,0
2023,Adana,bbp,12992,0
2023,Adana,chp,408253,5
2023,Adana,iyi,153214,2
2023,Adana,dem,138737,1
2023,Adana,tip,32770,0
2023,Adana,zaf,29953,0
2023,Adana,memleket,11120,0
2023,Adana,other,1442,0
2023,Adıyaman,akp,170133,4
2023,Adıyaman,yeniden_refah,15406,0
2023,Adıyaman,mhp,14070,0
2023,Adıyaman,bbp,3192,0
2023,Adıyaman,chp,60957,1
2023,Adıyaman,dem,39118,0
2023,Adıyaman,other,2035,0
2023,Adıyaman,zaf,2061,0
2023,Adıyaman,memleket,1489,0
2023,Afyonkarahisar,akp,215288,3
2023,Afyonkarahisar,mhp,78277,1
2023,Afyonkarahisar,yeniden_refah,14353,0
2023,Afyonkarahisar,bbp,5275,0
2023,Afyonkarahisar,chp,91589,1
2023,Afyonkarahisar,iyi,60212,1
2023,Afyonkarahisar,zaf,10764,0
2023,Afyonkarahisar,dem,3126,0
2023,Afyonkarahisar,tip,1495,0
2023,Afyonkarahisar,memleket,3848,0
2023,Ağrı,dem,119411,3
2023,Ağrı,akp,55633,1
2023,Ağrı,mhp,5667,0
2023,Ağrı,yeniden_refah,4320,0
2023,Ağrı,chp,24474,0
2023,Ağrı,iyi,3747,0
2023,Ağrı,other,1370,0
2023,Ağrı,memleket,1617,0
2023,Aksaray,akp,113634,2
2023,Aksaray,mhp,54103,1
2023,Aksaray,yeniden_refah,6650,0
2023,Aksaray,bbp,5416,0
2023,Aksaray,iyi,63590,1
2023,Aksaray,zaf,3464,0
2023,Aksaray,dem,2344,0
2023,Aksaray,other,3007,0
2023,Aksaray,memleket,1797,0
2023,Amasya,akp,94568,2
2023,Amasya,mhp,40037,0
2023,Amasya,yeniden_refah,4273,0
2023,Amasya,bbp,1972,0
2023,Amasya,chp,70732,1
2023,Amasya,iyi,17001,0
2023,Amasya,zaf,3588,0
2023,Amasya,dem,1572,0
2023,Amasya,tip,1078,0
2023,Amasya,memleket,1354,0
2023,Ankara,akp,1292472,15
2023,Ankara,mhp,407182,3
2023,Ankara,yeniden_refah,105934,0
2023,Ankara,bbp,50126,0
2023,Ankara,chp,1214193,13
2023,Ankara,iyi,508605,5
2023,Ankara,dem,125021,0
2023,Ankara,tip,49617,0
2023,Ankara,zaf,132209,0
2023,Ankara,other,1279,0
2023,Ankara,memleket,39084,0
2023,Ankara,anap,5635,0
2023,Antalya,chp,555281,6
2023,Antalya,iyi,194341,2
2023,Antalya,akp,499580,6
2023,Antalya,mhp,172338,2
2023,Antalya,yeniden_refah,21665,0
2023,Antalya,bbp,11393,0
2023,Antalya,dem,84269,1
2023,Antalya,tip,78250,0
2023,Antalya,zaf,48115,0
2023,Antalya,other,1642,0
2023,Antalya,memleket,22731,0
2023,Antalya,anap,2366,0
2023,Ardahan,akp,19489,1
2023,Ardahan,mhp,1802,0
2023,Ardahan,chp,16573,1
2023,Ardahan,iyi,2716,0
2023,Ardahan,dem,11931,0
2023,Artvin,akp,43865,1
2023,Artvin,mhp,11401,0
2023,Artvin,yeniden_refah,2772,0
2023,Artvin,chp,35257,1
2023,Artvin,iyi,15386,0
2023,Artvin,tip,1830,0
2023,Artvin,dem,1371,0
2023,Artvin,zaf,1387,0
2023,Artvin,memleket,1352,0
2023,Aydın,chp,282600,4
2023,Aydın,iyi,102822,1
2023,Aydın,akp,227985,3
2023,Aydın,mhp,68666,0
2023,Aydın,bbp,6740,0
2023,Aydın,yeniden_refah,5943,0
2023,Aydın,dem,58127,0
2023,Aydın,zaf,17622,0
2023,Aydın,other,1401,0
2023,Aydın,memleket,9085,0
2023,Aydın,anap,1653,0
2023,Balıkesir,chp,287053,3
2023,Balıkesir,iyi,133167,1
2023,Balıkesir,akp,316241,4
2023,Balıkesir,mhp,74767,1
2023,Balıkesir,yeniden_refah,18921,0
2023,Balıkesir,bbp,6271,0
2023,Balıkesir,dem,20685,0
2023,Balıkesir,tip,11569,0
2023,Balıkesir,zaf,18716,0
2023,Balıkesir,other,1037,0
2023,Balıkesir,memleket,11041,0
2023,Bartın,akp,50240,1
2023,Bartın,mhp,31932,0
2023,Bartın,yeniden_refah,2413,0
2023,Bartın,chp,42751,1
2023,Bartın,zaf,1974,0
2023,Bartın,memleket,1221,0
2023,Batman,dem,194141,3
2023,Batman,akp,98161,2
2023,Batman,mhp,4953,0
2023,Batman,yeniden_refah,3609,0
2023,Batman,bbp,1055,0
2023,Batman,chp,28417,0
2023,Batman,other,1937,0
2023,Batman,memleket,1201,0
2023,Bayburt,akp,30184,1
2023,Bayburt,mhp,8363,0
2023,Bayburt,yeniden_refah,1482,0
2023,Bayburt,iyi,8040,0
2023,Bilecik,akp,57827,1
2023,Bilecik,mhp,15965,0
2023,Bilecik,yeniden_refah,5019,0
2023,Bilecik,bbp,1327,0
2023,Bilecik,chp,41425,1
2023,Bilecik,iyi,18856,0
2023,Bilecik,dem,4473,0
2023,Bilecik,tip,1393,0
2023,Bilecik,zaf,3453,0
2023,Bilecik,memleket,1900,0
2023,Bingöl,akp,58635,2
2023,Bingöl,mhp,20341,0
2023,Bingöl,yeniden_refah,14903,0
2023,Bingöl,dem,35815,1
2023,Bingöl,chp,8702,0
2023,Bingöl,iyi,3018,0
2023,Bingöl,other,4215,0
2023,Bitlis,akp,67037,1
2023,Bitlis,mhp,6880,0
2023,Bitlis,yeniden_refah,3737,0
2023,Bitlis,dem,71418,2
2023,Bitlis,iyi,23126,0
2023,Bitlis,memleket,1095,0
2023,Bitlis,other,1023,0
2023,Bolu,akp,80727,1
2023,Bolu,mhp,50726,1
2023,Bolu,yeniden_refah,7026,0
2023,Bolu,bbp,1648,0
2023,Bolu,chp,47723,1
2023,Bolu,iyi,16195,0
2023,Bolu,zaf,4154,0
2023,Bolu,dem,2446,0
2023,Bolu,tip,1358,0
2023,Bolu,memleket,2160,0
2023,Burdur,akp,67690,2
2023,Burdur,mhp,25933,0
2023,Burdur,yeniden_refah,2249,0
2023,Burdur,bbp,1281,0
2023,Burdur,chp,57438,1
2023,Burdur,iyi,21049,0
2023,Burdur,zaf,2656,0
2023,Burdur,dem,1718,0
2023,Burdur,memleket,1354,0
2023,Bursa,akp,850506,10
2023,Bursa,mhp,187777,2
2023,Bursa,yeniden_refah,77121,0
2023,Bursa,bbp,16443,0
2023,Bursa,chp,530954,6
2023,Bursa,iyi,259184,2
2023,Bursa,dem,97344,0
2023,Bursa,tip,16722,0
2023,Bursa,zaf,79109,0
2023,Bursa,other,1062,0
2023,Bursa,memleket,28832,0
2023,Bursa,anap,3689,0
2023,Çanakkale,chp,142548,2
2023,Çanakkale,iyi,65927,1
2023,Çanakkale,akp,129674,1
2023,Çanakkale,mhp,26775,0
2023,Çanakkale,yeniden_refah,3965,0
2023,Çanakkale,bbp,1774,0
2023,Çanakkale,dem,8845,0
2023,Çanakkale,tip,5224,0
2023,Çanakkale,zaf,8040,0
2023,Çanakkale,other,1318,0
2023,Çanakkale,memleket,4221,0
2023,Çankırı,akp,54025,1
2023,Çankırı,mhp,39385,1
2023,Çankırı,yeniden_refah,3801,0
2023,Çankırı,bbp,1285,0
2023,Çankırı,iyi,22392,0
2023,Çankırı,zaf,1947,0
