year,province,party,votes,seats
2018,Adana,akp,461191,5
2018,Adana,mhp,156257,2
2018,Adana,chp,346425,4
2018,Adana,iyi,161497,2
2018,Adana,sp,14118,0
2018,Adana,dem,179742,2
2018,Adana,hudapar,7042,0
2018,Adana,other,2502,0
2018,Adıyaman,akp,191079,4
2018,Adıyaman,mhp,31716,0
2018,Adıyaman,chp,41796,1
2018,Adıyaman,iyi,18278,0
2018,Adıyaman,sp,5626,0
2018,Adıyaman,dem,53444,0
2018,Adıyaman,hudapar,4262,0
2018,Afyonkarahisar,akp,255430,3
2018,Afyonkarahisar,mhp,64342,1
2018,Afyonkarahisar,chp,66700,1
2018,Afyonkarahisar,iyi,61684,1
2018,Afyonkarahisar,sp,5102,0
2018,Afyonkarahisar,dem,5780,0
2018,Afyonkarahisar,other,1175,0
2018,Ağrı,dem,143885,3
2018,Ağrı,akp,66624,1
2018,Ağrı,mhp,5800,0
2018,Ağrı,chp,6729,0
2018,Ağrı,iyi,3834,0
2018,Ağrı,sp,1892,0
2018,Ağrı,hudapar,1740,0
2018,Aksaray,akp,131386,2
2018,Aksaray,mhp,48064,1
2018,Aksaray,iyi,24660,1
2018,Aksaray,chp,23160,0
2018,Aksaray,sp,1952,0
2018,Aksaray,dem,3678,0
2018,Amasya,akp,106937,2
2018,Amasya,mhp,28240,0
2018,Amasya,chp,56313,1
2018,Amasya,iyi,27555,0
2018,Amasya,sp,2535,0
2018,Amasya,dem,5165,0
2018,Ankara,akp,1434125,15
2018,Ankara,mhp,464966,5
2018,Ankara,chp,925343,10
2018,Ankara,iyi,429241,5
2018,Ankara,sp,52933,0
2018,Ankara,dem,227233,1
2018,Ankara,other,1493,0
2018,Ankara,hudapar,3830,0
2018,Antalya,chp,431675,5
2018,Antalya,iyi,250294,3
2018,Antalya,sp,14207,0
2018,Antalya,akp,517530,6
2018,Antalya,mhp,149777,1
2018,Antalya,dem,108479,1
2018,Antalya,other,3917,0
2018,Antalya,hudapar,3187,0
2018,Ardahan,akp,21704,1
2018,Ardahan,mhp,3957,0
2018,Ardahan,chp,15115,1
2018,Ardahan,iyi,2994,0
2018,Ardahan,dem,13662,0
2018,Artvin,akp,46769,1
2018,Artvin,mhp,11774,0
2018,Artvin,chp,36973,1
2018,Artvin,iyi,11825,0
2018,Artvin,sp,1679,0
2018,Artvin,dem,5676,0
2018,Aydın,chp,248359,3
2018,Aydın,sp,5138,0
2018,Aydın,akp,237734,4
2018,Aydın,mhp,59212,0
2018,Aydın,dem,68447,0
2018,Aydın,hudapar,1823,0
2018,Balıkesir,akp,357932,5
2018,Balıkesir,mhp,65380,0
2018,Balıkesir,chp,262566,3
2018,Balıkesir,iyi,127213,1
2018,Balıkesir,sp,10073,0
2018,Balıkesir,dem,36770,0
2018,Balıkesir,other,2881,0
2018,Balıkesir,hudapar,1533,0
2018,Bartın,akp,59687,1
2018,Bartın,mhp,21604,0
2018,Bartın,chp,32331,1
2018,Bartın,iyi,7411,0
2018,Bartın,sp,2690,0
2018,Bartın,dem,2162,0
2018,Batman,dem,181841,4
2018,Batman,akp,72948,1
2018,Batman,mhp,3561,0
2018,Batman,sp,9166,0
2018,Batman,chp,5357,0
2018,Batman,iyi,3530,0
2018,Batman,other,15998,0
2018,Bayburt,akp,28216,1
2018,Bayburt,mhp,13463,0
2018,Bayburt,iyi,3020,0
2018,Bayburt,chp,2097,0
2018,Bayburt,sp,1593,0
2018,Bilecik,akp,61261,1
2018,Bilecik,mhp,13213,0
2018,Bilecik,chp,39824,1
2018,Bilecik,iyi,19960,0
2018,Bilecik,sp,1583,0
2018,Bilecik,dem,4776,0
2018,Bingöl,akp,80022,2
2018,Bingöl,mhp,8502,0
2018,Bingöl,dem,38803,1
2018,Bingöl,iyi,5909,0
2018,Bingöl,chp,3312,0
2018,Bingöl,sp,1570,0
2018,Bingöl,hudapar,6301,0
2018,Bitlis,akp,73706,2
2018,Bitlis,mhp,6716,0
2018,Bitlis,dem,69965,1
2018,Bitlis,iyi,5397,0
2018,Bitlis,chp,4495,0
2018,Bitlis,sp,1824,0
2018,Bitlis,hudapar,1815,0
2018,Bolu,akp,105102,2
2018,Bolu,mhp,30123,0
2018,Bolu,chp,40954,1
2018,Bolu,iyi,17235,0
2018,Bolu,sp,3069,0
2018,Bolu,dem,4188,0
2018,Burdur,akp,76123,2
2018,Burdur,mhp,22059,0
2018,Burdur,chp,35690,1
2018,Burdur,iyi,35155,0
2018,Burdur,sp,2699,0
2018,Burdur,dem,3385,0
2018,Bursa,akp,901530,11
2018,Bursa,mhp,209461,2
2018,Bursa,chp,443393,5
2018,Bursa,iyi,243015,2
2018,Bursa,sp,33490,0
2018,Bursa,dem,111030,0
2018,Bursa,other,4717,0
2018,Bursa,hudapar,4500,0
2018,Çanakkale,chp,126498,2
2018,Çanakkale,iyi,62716,0
2018,Çanakkale,sp,2888,0
2018,Çanakkale,akp,139798,2
2018,Çanakkale,mhp,25938,0
2018,Çanakkale,dem,14014,0
2018,Çanakkale,other,1245,0
2018,Çankırı,akp,70533,2
2018,Çankırı,mhp,23375,0
2018,Çankırı,iyi,14143,0
2018,Çankırı,chp,7982,0
2018,Çankırı,sp,1310,0
2018,Çankırı,dem,1321,0
2018,Çorum,akp,186915,3
2018,Çorum,mhp,50387,0
2018,Çorum,chp,72945,1
2018,Çorum,iyi,30215,0
2018,Çorum,sp,3909,0
2018,Çorum,dem,13096,0
2018,Denizli,akp,278925,4
2018,Denizli,mhp,63105,0
2018,Denizli,chp,192012,3
2018,Denizli,iyi,112713,1
2018,Denizli,sp,5723,0
2018,Denizli,dem,27588,0
2018,Denizli,other,2176,0
2018,Denizli,hudapar,1740,0
2018,Diyarbakır,dem,558601,9
2018,Diyarbakır,akp,182763,3
2018,Diyarbakır,mhp,11981,0
2018,Diyarbakır,iyi,23860,0
2018,Diyarbakır,chp,21306,0
2018,Diyarbakır,sp,14303,0
2018,Diyarbakır,other,1098,0
2018,Düzce,akp,138507,2
2018,Düzce,mhp,46227,1
2018,Düzce,chp,35925,0
2018,Düzce,iyi,16672,0
2018,Düzce,sp,3674,0
2018,Düzce,dem,5103,0
2018,Edirne,chp,125476,2
2018,Edirne,iyi,43214,1
2018,Edirne,sp,2846,0
2018,Edirne,akp,78982,1
2018,Edirne,mhp,13958,0
2018,Edirne,dem,10181,0
2018,Elazığ,akp,191626,4
2018,Elazığ,mhp,47558,0
2018,Elazığ,chp,37751,1
2018,Elazığ,iyi,26987,0
2018,Elazığ,sp,6199,0
2018,Elazığ,dem,35460,0
2018,Elazığ,hudapar,5210,0
2018,Erzincan,akp,66465,2
2018,Erzincan,mhp,27652,0
2018,Erzincan,chp,37865,0
2018,Erzincan,iyi,6194,0
2018,Erzincan,sp,1629,0
2018,Erzincan,dem,8387,0
2018,Erzurum,akp,238941,4
2018,Erzurum,mhp,80780,1
2018,Erzurum,iyi,35504,1
2018,Erzurum,chp,19280,0
2018,Erzurum,sp,7689,0
2018,Erzurum,dem,52151,0
2018,Eskişehir,akp,225551,3
2018,Eskişehir,mhp,57747,1
2018,Eskişehir,chp,187676,2
2018,Eskişehir,iyi,76784,1
2018,Eskişehir,sp,6452,0
2018,Eskişehir,dem,24821,0
2018,Eskişehir,other,1445,0
2018,Gaziantep,akp,540735,8
2018,Gaziantep,mhp,133202,2
2018,Gaziantep,chp,158769,2
2018,Gaziantep,iyi,70179,1
2018,Gaziantep,sp,12576,0
2018,Gaziantep,dem,124858,1
2018,Gaziantep,hudapar,8743,0
2018,Gaziantep,other,2031,0
2018,Giresun,akp,156447,3
2018,Giresun,mhp,31556,0
2018,Giresun,chp,51840,1
2018,Giresun,iyi,41997,0
2018,Giresun,sp,3634,0
2018,Giresun,dem,4499,0
2018,Gümüşhane,akp,46224,2
2018,Gümüşhane,mhp,16712,0
2018,Gümüşhane,iyi,9218,0
2018,Gümüşhane,chp,6057,0
2018,Gümüşhane,sp,1604,0
2018,Gümüşhane,dem,1077,0
2018,Hakkâri,dem,98064,2
2018,Hakkâri,akp,28048,1
2018,Hakkâri,mhp,5167,0
2018,Hakkâri,chp,4833,0
2018,Hakkâri,iyi,1826,0
2018,Hatay,akp,340122,5
2018,Hatay,mhp,135667,1
2018,Hatay,chp,287438,4
2018,Hatay,iyi,61380,0
2018,Hatay,sp,8449,0
2018,Hatay,dem,103530,1
2018,Hatay,hudapar,1546,0
2018,Hatay,other,1365,0
2018,Iğdır,dem,41545,1
2018,Iğdır,mhp,22448,1
2018,Iğdır,akp,19466,0
2018,Iğdır,iyi,5518,0
2018,Iğdır,chp,2669,0
2018,Iğdır,sp,1877,0
2018,Isparta,akp,133707,3
2018,Isparta,mhp,36767,0
2018,Isparta,iyi,51509,1
2018,Isparta,chp,46224,0
2018,Isparta,sp,4211,0
2018,Isparta,dem,5959,0
2018,İstanbul,akp,4029418,43
2018,İstanbul,mhp,779942,8
2018,İstanbul,chp,2498564,27
2018,İstanbul,iyi,755397,8
2018,İstanbul,sp,139870,0
2018,İstanbul,dem,1195523,12
2018,İstanbul,other,4082,0
2018,İstanbul,hudapar,16956,0
2018,İzmir,chp,1204370,14
2018,İzmir,iyi,317092,2
2018,İzmir,sp,23266,0
2018,İzmir,akp,836581,8
2018,İzmir,mhp,183312,2
2018,İzmir,dem,334974,2
2018,İzmir,other,1951,0
2018,İzmir,hudapar,4835,0
2018,Kahramanmaraş,akp,391098,6
2018,Kahramanmaraş,mhp,109216,1
2018,Kahramanmaraş,chp,65348,1
2018,Kahramanmaraş,iyi,64494,0
2018,Kahramanmaraş,sp,10060,0
2018,Kahramanmaraş,dem,25730,0
2018,Kahramanmaraş,hudapar,1556,0
2018,Kahramanmaraş,other,1377,0
2018,Karabük,akp,83252,2
2018,Karabük,mhp,21007,0
2018,Karabük,chp,25772,1
2018,Karabük,iyi,18829,0
2018,Karabük,sp,2660,0
2018,Karabük,dem,2290,0
2018,Karaman,akp,84410,2
2018,Karaman,mhp,23620,0
2018,Karaman,chp,25615,1
2018,Karaman,iyi,18195,0
2018,Karaman,sp,2482,0
2018,Karaman,dem,2491,0
2018,Kars,akp,55911,2
2018,Kars,mhp,10664,0
2018,Kars,dem,47052,1
2018,Kars,chp,21132,0
2018,Kars,iyi,10853,0
2018,Kars,sp,1012,0
2018,Kastamonu,akp,130270,2
2018,Kastamonu,mhp,50072,0
2018,Kastamonu,chp,38793,1
2018,Kastamonu,iyi,23251,0
2018,Kastamonu,sp,2357,0
2018,Kastamonu,dem,2821,0
2018,Kastamonu,other,1095,0
2018,Kayseri,akp,443015,6
2018,Kayseri,mhp,187936,2
2018,Kayseri,chp,108268,1
2018,Kayseri,iyi,96334,1
2018,Kayseri,sp,15035,0
2018,Kayseri,dem,20742,0
2018,Kayseri,hudapar,1512,0
2018,Kayseri,other,1344,0
2018,Kırıkkale,akp,76851,1
2018,Kırıkkale,mhp,42627,1
2018,Kırıkkale,chp,26888,1
2018,Kırıkkale,iyi,24021,0
2018,Kırıkkale,sp,2117,0
2018,Kırıkkale,dem,2796,0
2018,Kırklareli,chp,118168,2
2018,Kırklareli,iyi,40604,0
2018,Kırklareli,sp,1499,0
2018,Kırklareli,akp,66885,1
2018,Kırklareli,mhp,12125,0
2018,Kırklareli,dem,8417,0
2018,Kırşehir,akp,59471,1
2018,Kırşehir,mhp,24418,0
2018,Kırşehir,chp,36861,1
2018,Kırşehir,iyi,14602,0
2018,Kırşehir,sp,1437,0
2018,Kırşehir,dem,6779,0
2018,Kilis,akp,38481,2
2018,Kilis,mhp,15405,0
2018,Kilis,chp,11051,0
2018,Kilis,iyi,7690,0
2018,Kilis,sp,1019,0
2018,Kilis,dem,1741,0
2018,Kocaeli,akp,585313,7
2018,Kocaeli,mhp,137708,1
2018,Kocaeli,chp,243828,3
2018,Kocaeli,iyi,125118,1
2018,Kocaeli,sp,26436,0
2018,Kocaeli,hudapar,1889,0
2018,Kocaeli,dem,89162,1
