year,province,party,votes,seats
2007,Adana,akp,338122,6
2007,Adana,mhp,210006,4
2007,Adana,chp,209276,4
2007,Adana,other,0,0
2007,Adana,dp,48426,0
2007,Adana,sp,14322,0
2007,Adıyaman,akp,159735,4
2007,Adıyaman,chp,34108,1
2007,Adıyaman,other,0,0
2007,Adıyaman,mhp,12807,0
2007,Adıyaman,dp,8526,0
2007,Adıyaman,sp,4938,0
2007,Afyonkarahisar,akp,206825,5
2007,Afyonkarahisar,mhp,80860,1
2007,Afyonkarahisar,chp,47494,1
2007,Afyonkarahisar,dp,26197,0
2007,Afyonkarahisar,sp,6893,0
2007,Afyonkarahisar,other,0,0
2007,Ağrı,akp,103138,5
2007,Ağrı,other,0,0
2007,Ağrı,mhp,6341,0
2007,Ağrı,dp,4949,0
2007,Ağrı,chp,4210,0
2007,Ağrı,sp,1538,0
2007,Aksaray,akp,113555,3
2007,Aksaray,mhp,28736,1
2007,Aksaray,chp,18613,0
2007,Aksaray,dp,7600,0
2007,Aksaray,sp,2832,0
2007,Aksaray,other,102,0
2007,Amasya,akp,92331,2
2007,Amasya,chp,50213,1
2007,Amasya,mhp,29910,0
2007,Amasya,dp,10813,0
2007,Amasya,sp,4679,0
2007,Amasya,other,215,0
2007,Ankara,akp,1168742,16
2007,Ankara,chp,687869,9
2007,Ankara,mhp,372868,4
2007,Ankara,dp,69804,0
2007,Ankara,other,0,0
2007,Ankara,sp,29673,0
2007,Antalya,akp,306269,5
2007,Antalya,chp,261766,5
2007,Antalya,mhp,179734,3
2007,Antalya,dp,88593,0
2007,Antalya,other,0,0
2007,Antalya,sp,11813,0
2007,Ardahan,akp,22713,1
2007,Ardahan,chp,18066,1
2007,Ardahan,other,0,0
2007,Ardahan,mhp,3403,0
2007,Ardahan,dp,1785,0
2007,Ardahan,sp,478,0
2007,Artvin,akp,37613,1
2007,Artvin,chp,28313,1
2007,Artvin,dp,13875,0
2007,Artvin,mhp,10924,0
2007,Artvin,sp,1886,0
2007,Artvin,other,53,0
2007,Aydın,akp,163071,3
2007,Aydın,mhp,144616,3
2007,Aydın,chp,136280,2
2007,Aydın,dp,55512,0
2007,Aydın,other,0,0
2007,Aydın,sp,5973,0
2007,Balıkesir,akp,287441,5
2007,Balıkesir,chp,168593,2
2007,Balıkesir,mhp,109769,1
2007,Balıkesir,dp,61390,0
2007,Balıkesir,other,0,0
2007,Balıkesir,sp,14150,0
2007,Bartın,akp,43220,1
2007,Bartın,chp,25431,1
2007,Bartın,mhp,24300,0
2007,Bartın,dp,8643,0
2007,Bartın,sp,2769,0
2007,Bartın,other,42,0
2007,Batman,akp,73713,2
2007,Batman,other,0,0
2007,Batman,dp,9160,0
2007,Batman,chp,6208,0
2007,Batman,sp,3036,0
2007,Batman,mhp,1491,0
2007,Bayburt,akp,25632,2
2007,Bayburt,mhp,8154,0
2007,Bayburt,sp,3626,0
2007,Bayburt,dp,2493,0
2007,Bayburt,chp,1227,0
2007,Bayburt,other,0,0
2007,Bilecik,akp,46829,1
2007,Bilecik,chp,27235,1
2007,Bilecik,mhp,20959,0
2007,Bilecik,dp,9005,0
2007,Bilecik,other,98,0
2007,Bilecik,sp,4682,0
2007,Bingöl,akp,78467,3
2007,Bingöl,other,0,0
2007,Bingöl,dp,4654,0
2007,Bingöl,chp,4575,0
2007,Bingöl,mhp,2800,0
2007,Bingöl,sp,2041,0
2007,Bitlis,akp,68381,3
2007,Bitlis,other,0,0
2007,Bitlis,chp,10053,0
2007,Bitlis,mhp,6660,0
2007,Bitlis,dp,2026,0
2007,Bitlis,sp,1867,0
2007,Bolu,akp,90409,3
2007,Bolu,chp,24178,0
2007,Bolu,mhp,20065,0
2007,Bolu,dp,10905,0
2007,Bolu,sp,5949,0
2007,Bolu,other,306,0
2007,Burdur,akp,65479,2
2007,Burdur,chp,33673,1
2007,Burdur,mhp,29437,0
2007,Burdur,dp,15303,0
2007,Burdur,other,134,0
2007,Burdur,sp,3969,0
2007,Bursa,akp,666531,10
2007,Bursa,chp,241856,3
2007,Bursa,mhp,188252,3
2007,Bursa,dp,73878,0
2007,Bursa,sp,51679,0
2007,Bursa,other,0,0
2007,Çanakkale,akp,106252,2
2007,Çanakkale,chp,77179,1
2007,Çanakkale,mhp,62121,1
2007,Çanakkale,dp,22518,0
2007,Çanakkale,other,0,0
2007,Çanakkale,sp,2803,0
2007,Çankırı,akp,67554,2
2007,Çankırı,mhp,23996,1
2007,Çankırı,chp,5965,0
2007,Çankırı,dp,5746,0
2007,Çankırı,sp,2616,0
2007,Çankırı,other,84,0
2007,Çorum,akp,190765,4
2007,Çorum,chp,73947,1
2007,Çorum,mhp,35783,0
2007,Çorum,dp,12700,0
2007,Çorum,sp,5487,0
2007,Çorum,other,125,0
2007,Denizli,akp,219157,4
2007,Denizli,chp,111951,2
2007,Denizli,mhp,90290,1
2007,Denizli,dp,44587,0
2007,Denizli,other,0,0
2007,Denizli,sp,5043,0
2007,Diyarbakır,akp,191214,6
2007,Diyarbakır,other,0,0
2007,Diyarbakır,dp,24381,0
2007,Diyarbakır,mhp,11431,0
2007,Diyarbakır,chp,9407,0
2007,Diyarbakır,sp,3248,0
2007,Düzce,akp,111100,3
2007,Düzce,mhp,19756,0
2007,Düzce,chp,19501,0
2007,Düzce,dp,12320,0
2007,Düzce,sp,8070,0
2007,Düzce,other,168,0
2007,Edirne,chp,87081,2
2007,Edirne,akp,50368,1
2007,Edirne,mhp,40903,1
2007,Edirne,other,0,0
2007,Edirne,dp,23259,0
2007,Edirne,sp,4020,0
2007,Elazığ,akp,154727,5
2007,Elazığ,dp,55955,0
2007,Elazığ,chp,19114,0
2007,Elazığ,mhp,17456,0
2007,Elazığ,sp,10054,0
2007,Elazığ,other,0,0
2007,Erzincan,akp,66499,2
2007,Erzincan,chp,29282,1
2007,Erzincan,mhp,13989,0
2007,Erzincan,other,0,0
2007,Erzincan,sp,2460,0
2007,Erzincan,dp,1493,0
2007,Erzurum,akp,244137,6
2007,Erzurum,mhp,46971,1
2007,Erzurum,other,0,0
2007,Erzurum,chp,16857,0
2007,Erzurum,sp,11564,0
2007,Erzurum,dp,9373,0
2007,Eskişehir,akp,194494,3
2007,Eskişehir,chp,110968,2
2007,Eskişehir,mhp,68272,1
2007,Eskişehir,dp,30913,0
2007,Eskişehir,other,0,0
2007,Eskişehir,sp,7013,0
2007,Gaziantep,akp,328120,7
2007,Gaziantep,chp,97271,2
2007,Gaziantep,mhp,63030,1
2007,Gaziantep,other,0,0
2007,Gaziantep,dp,13286,0
2007,Gaziantep,sp,7844,0
2007,Giresun,akp,123138,3
2007,Giresun,chp,38842,1
2007,Giresun,mhp,38377,1
2007,Giresun,other,32,0
2007,Giresun,dp,9364,0
2007,Giresun,sp,5795,0
2007,Gümüşhane,akp,41940,2
2007,Gümüşhane,mhp,13322,0
2007,Gümüşhane,chp,5490,0
2007,Gümüşhane,sp,2979,0
2007,Gümüşhane,dp,2764,0
2007,Gümüşhane,other,18,0
2007,Hakkâri,akp,29513,2
2007,Hakkâri,chp,3118,0
2007,Hakkâri,dp,1756,0
2007,Hakkâri,mhp,1633,0
2007,Hakkâri,other,0,0
2007,Hakkâri,sp,455,0
2007,Hatay,akp,261971,5
2007,Hatay,chp,199838,3
2007,Hatay,mhp,107721,2
2007,Hatay,dp,26433,0
2007,Hatay,other,0,0
2007,Hatay,sp,7278,0
2007,Iğdır,akp,18672,1
2007,Iğdır,other,0,0
2007,Iğdır,mhp,9786,0
2007,Iğdır,chp,5401,0
2007,Iğdır,dp,2757,0
2007,Iğdır,sp,179,0
2007,Isparta,akp,103459,3
2007,Isparta,mhp,55814,1
2007,Isparta,chp,31456,1
2007,Isparta,dp,29004,0
2007,Isparta,sp,6766,0
2007,Isparta,other,0,0
2007,İstanbul,akp,2604343,39
2007,İstanbul,chp,1556518,22
2007,İstanbul,mhp,602093,7
2007,İstanbul,other,0,0
2007,İstanbul,dp,177186,0
2007,İstanbul,sp,175213,0
2007,İzmir,chp,64,11
2007,İzmir,akp,133,9
2007,İzmir,mhp,259,4
2007,İzmir,other,3,0
2007,İzmir,dp,52,0
2007,İzmir,sp,1,0
